code,additives_n,energy_100g,fat_100g,fiber_100g,proteins_100g,sugars_100g,sodium_100g,salt_100g,carbohydrates_100g,healthy
0014113912938,0.0,2469.0,46.0,0.0,21.4,7.8,0.0,0.0,17.4,0.0
0014544468394,5.0,2050.0,23.0,2.6,6.5,47.0,0.136,0.34,62.0,0.0
0014550021064,3.0,1965.0,17.0,3.5,6.6,28.0,0.36,0.9,70.0,0.0
00146883,0.0,2494.0,49.6,9.2,24.9,5.0,0.04,0.1,9.5,1.0
0015000048310,0.0,711.0,17.0,2.0,3.0,7.0,0.15,0.375,11.0,
00151351,0.0,1950.0,20.4,1.2,8.5,3.0,0.332,0.83,59.3,0.0
0015205364505,0.0,423.0,0.1,0.0,3.3,20.8,8.44,21.1,20.9,
0015292204715,3.0,471.0,2.82,0.0,18.3,2.82,0.169,0.423,4.23,1.0
00154208,0.0,887.0,20.6,1.5,4.7,0.9,0.04,0.1,1.3,1.0
00154222,1.0,668.0,7.7,1.1,6.9,3.5,0.22,0.55,14.4,1.0
00154338,0.0,1812.0,43.0,0.5,0.5,7.0,0.38,0.95,10.7,0.0
00156707,4.0,2162.0,26.7,2.3,6.4,48.4,0.152,0.38,61.6,0.0
00156721,0.0,649.0,5.6,1.1,22.2,0.5,0.36,0.9,3.5,
00156929,4.0,2130.0,26.6,4.9,5.9,39.8,0.192,0.48,59.0,0.0
0015700052099,2.0,276.0,1.2,0.0,0.7,9.1,0.084,0.21,12.9,
0015700052327,0.0,1846.0,5.882353,2.9411764,2.9411764,47.058823,0.5,1.25,85.29412,
00158732,3.0,1452.0,0.4,0.8,0.5,53.5,0.2,0.5,84.9,
0016000121836,5.0,1705.0,3.7,7.41,7.41,37.04,0.63972,1.5993,81.48,0.0
0016000169364,5.0,1705.0,9.259259,5.5555553,7.4074073,27.777779,0.42592594,1.0648148,77.77778,0.0
0016000196964,3.0,1790.0,12.9,5.71,8.57,22.9,0.186,0.464,71.4,0.0
0016000275690,6.0,1705.0,3.7,7.4,7.41,37.04,0.63972,1.5993,81.48,0.0
0016000444867,0.0,2271.0,37.142857,5.714286,17.142857,22.857143,0.51428574,1.2857143,40.0,
0016000456969,9.0,1170.0,10.0,24.0,8.0,8.0,0.34,0.85,68.0,
